X,Y,NTRNOMBRE
-74.13418511,4.693076928,PUENTE AEREO
-74.06077567,4.602786892,ESTACION DE TELEFERICO
-74.0555462,4.604641366,ESTACION DE TELEFERICO
-74.06605477,4.813129446,AEROPUERTO GUAYMARAL
-74.08409692,4.616368246,PLAZA DE MERCADO DE PALOQUEMAO
-74.14299003,4.698573832,EL DORADO
-74.08335656,4.607094776,ESTACION DE LA SABANA
-74.08956912,4.686318048,PLAZA DE MERCADO LAS FERIAS
-74.06099493,4.602906504,ESTACION DE FUNICULAR
-74.05495842,4.603560959,ESTACION DE FUNICULAR
-74.03782375,4.690720078,ESTACION DE USAQUEN
-74.04756178,4.67469627,Embajada de Francia
-74.164936,4.569968,Br. Jerusalén Las Brisas
-74.09431101,4.676387263,Colegio Estrada de María Auxiliadora
-74.12741848,4.613791104,Br. Milenta
-74.17204049,4.609261179,Br. Roma - Bertha Hernádez  de Ospina
-74.09658087,4.734583687,Br. Aures I
-74.10857068,4.509144893,Br. Gran Yomasa II Sector
-74.07383916,4.639719916,Br. Alfonso López
-74.04314868,4.699467122,Pquia. Santa Beatriz
-74.10943693,4.67286365,Parque Normandía
-74.13300241,4.606888669,Br. Alquería La Fragua Norte
-74.14855032,4.671084227,Br. La Laguna Fontibón
-74.04367008,4.737692159,Pquía. Santa María Magdalena
-74.0740102,4.64127059,Br. Galerías
-74.19841764,4.633634878,Parque Público El Recreo
-74.115135,4.64692,Urb. Santa María
-74.199483,4.604046,Br. José María Carbonell
-74.07645087,4.656058044,Br. Benjamín Herrera
-74.1424375,4.716691447,Br. La Tortigua
-74.11428765,4.729108112,Ciudadela Colsubsidio IV Sector
-74.10802418,4.551790516,IED Colombia Viva
-74.0627156,4.746527593,Br. Gilmar
-74.10885267,4.615136616,Pq. Primavera
-74.15389077,4.623300634,CADE Kennedy
-74.09830423,4.620253908,Estación Zona Industrial
-74.08858787,4.557626759,Pq. Gaitán Cortés
-74.13642769,4.597438507,Br. Alquería
-74.04529912,4.792788382,Colegio San Mateo Apóstol
-74.10302686,4.624000238,Br. Gorgonzola
-74.10395426,4.488653948,Br. El Nuevo Portal II
-74.13265753,4.617908667,Br. Hipotecho Occidental III
-74.14641936,4.553595163,Br. Sumapaz
-74.12681142,4.606832942,Br. Tejar
-74.09195968,4.701681674,Br. El Minuto de Dios
-74.12207703,4.679476071,Br. Ferrocaja
-74.160784,4.693733,Brisas Aldea Fontibón
-74.07491531,4.607494539,Br. La Capuchina
-74.196188,4.612987,Br. Islandia - Santa Lucía
-74.12087777,4.643991127,INVIMA
-74.11474926,4.556192358,Br. Callejón de Santa Bárbara
-74.15441692,4.642168708,Br. Ciudad Techo II
-74.12499358,4.672686645,Br. Villa del Pinar
-74.09189257,4.621829178,Br. Cundinamarca
-74.04550719,4.68343242,Colsanitas CL 100
-74.10125092,4.679016152,Br. Lujan
-74.08765871,4.658239565,Centro de Alto Rendimiento
-74.16215204,4.568423391,Parque Deportivo Arborizadora Alta
-74.09411067,4.543464743,Br. Santa Rita Suroriental
-74.09184975,4.546430314,Br. La Gloria Oriental
-74.08710871,4.744854655,Br. La Campiña
-74.16149499,4.546813927,Parque Illimaní
-74.14342499,4.566747559,Br. Ronda
-74.13762319,4.577918353,Colegio Marco Fidel Suarez
-74.15453623,4.637711382,Br. Ciudad Techo II
-74.1074192,4.679715146,Alameda de Villaluz
-74.02174922,4.667786164,Br. San Luis Altos del Cabo
-74.12850545,4.648048638,Br. Interindustrial
-74.09051789,4.517599342,Pq San Cayetano
-74.09712523,4.730292458,IED Álvaro Gómez Hurtado
-74.10666397,4.584463175,IED Antonio Baraya
-74.155155,4.653597,Parque Castilla Reservado
-74.07484459,4.675044858,Br. Jorge Eliecer Gaitán
-74.113145,4.672696,Br. San Ignacio
-74.19126935,4.610069367,Br. La Palestina I
-74.17772367,4.62988127,Br. Las Margaritas
-74.11861688,4.70572334,Br. Álamos Norte
-74.09737701,4.563312404,Portal 20 de Julio
-74.1103898,4.595839598,Br. La Fragua
-74.07501239,4.633138746,Br. La Soledad
-74.08322267,4.749007384,Br. Tuna Alta
-74.10644536,4.598573963,Br. Santa Isabel
-74.17393767,4.614037819,Br. Casablanca
-74.08530026,4.615906872,Pl. Paloquemao
-74.20152914,4.608787561,Br. Gran Colombiano
-74.141982,4.71009,Br. Sabana del Dorado
-74.06069754,4.738513084,Urb. Versalles
-74.0929428,4.584363099,Escuela María Montessori
-74.13696741,4.679181997,IED Costa Rica
-74.1470451,4.600797744,Br. Las Delicias
-74.02285373,4.665352179,Br. La Esperanza Nororiental
-74.1677857,4.564884707,Br. Arborizadora Alta TV  34
-74.16618775,4.611675002,IED Villa Rica Sede B
-74.04770076,4.71518002,Colegio Siervas de San José
-74.10457822,4.492320834,Br. Puerta al Llano
-74.09077749,4.57201789,Carrera  5A
-74.09445719,4.679598753,Br. La Estrada
-74.12534952,4.583087447,Policlínico Comunitario Inglés
-74.13966378,4.554179892,Altos de Jalisco
-74.092511,4.573872,Br. Sociego
